Heart Rate,Time,Student,Temperature
85.9,09:00:52,S8,19.35
86.67,09:00:52,S9,19.45
82.18,09:00:53,S1,20.12
79.37,09:00:53,S10,20.09
104.78,09:00:53,S2,20.17
78.38,09:00:53,S3,19.7
95.33,09:00:53,S4,19.57
110.52,09:00:53,S5,19.83
76.35,09:00:53,S6,19.81
104.95,09:00:53,S7,19.51
86.13,09:00:53,S8,19.33
86.57,09:00:53,S9,19.45
82.9,09:00:54,S1,20.12
79.43,09:00:54,S10,20.09
104.93,09:00:54,S2,20.17
78.33,09:00:54,S3,19.81
95.12,09:00:54,S4,19.57
110.43,09:00:54,S5,19.83
75.97,09:00:54,S6,19.81
104.33,09:00:54,S7,19.59
86.32,09:00:54,S8,19.33
86.45,09:00:54,S9,19.45
83.63,09:00:55,S1,20.12
79.52,09:00:55,S10,20.09
105.08,09:00:55,S2,20.17
78.15,09:00:55,S3,19.81
94.98,09:00:55,S4,19.61
110.37,09:00:55,S5,19.83
75.6,09:00:55,S6,19.83
103.65,09:00:55,S7,19.59
86.38,09:00:55,S8,19.33
86.38,09:00:55,S9,19.49
84.35,09:00:56,S1,20.12
79.52,09:00:56,S10,20.11
105.23,09:00:56,S2,20.17
77.98,09:00:56,S3,19.81
94.85,09:00:56,S4,19.61
110.33,09:00:56,S5,19.83
75.18,09:00:56,S6,19.83
102.98,09:00:56,S7,19.59
86.45,09:00:56,S8,19.39
86.37,09:00:56,S9,19.49
85.0,09:00:57,S1,20.12
79.32,09:00:57,S10,20.11
105.37,09:00:57,S2,20.17
77.8,09:00:57,S3,19.83
94.72,09:00:57,S4,19.61
110.35,09:00:57,S5,19.83
74.85,09:00:57,S6,19.83
102.28,09:00:57,S7,19.53
86.53,09:00:57,S8,19.39
86.35,09:00:57,S9,19.49
85.6,09:00:58,S1,20.12
78.72,09:00:58,S10,20.11
105.48,09:00:58,S2,20.17
77.6,09:00:58,S3,19.83
94.58,09:00:58,S4,19.59
110.43,09:00:58,S5,19.83
74.47,09:00:58,S6,19.81
101.58,09:00:58,S7,19.53
86.62,09:00:58,S8,19.39
86.35,09:00:58,S9,19.46
86.17,09:00:59,S1,20.12
78.18,09:00:59,S10,20.07
105.57,09:00:59,S2,20.17
77.45,09:00:59,S3,19.83
94.53,09:00:59,S4,19.59
110.5,09:00:59,S5,19.83
74.08,09:00:59,S6,19.81
100.88,09:00:59,S7,19.53
86.65,09:00:59,S8,19.95
86.4,09:00:59,S9,19.46
86.73,09:01:00,S1,20.12
77.67,09:01:00,S10,20.07
105.67,09:01:00,S2,20.17
77.32,09:01:00,S3,19.81
94.52,09:01:00,S4,19.59
110.53,09:01:00,S5,19.83
73.82,09:01:00,S6,19.81
100.45,09:01:00,S7,19.51
86.7,09:01:00,S8,19.95
86.38,09:01:00,S9,19.46
87.28,09:01:01,S1,20.12
77.18,09:01:01,S10,20.07
105.78,09:01:01,S2,20.17
77.12,09:01:01,S3,19.81
94.48,09:01:01,S4,19.59
110.55,09:01:01,S5,19.83
73.57,09:01:01,S6,19.83
99.98,09:01:01,S7,19.51
86.72,09:01:01,S8,19.95
86.43,09:01:01,S9,19.46
87.82,09:01:02,S1,20.15
76.68,09:01:02,S10,20.09
105.88,09:01:02,S2,20.17
76.9,09:01:02,S3,19.81
94.52,09:01:02,S4,19.59
110.55,09:01:02,S5,19.83
73.33,09:01:02,S6,19.83
99.37,09:01:02,S7,19.51
86.73,09:01:02,S8,20.85
86.57,09:01:02,S9,19.46
88.38,09:01:03,S1,20.15
76.25,09:01:03,S10,20.09
105.93,09:01:03,S2,20.17
76.63,09:01:03,S3,19.73
94.55,09:01:03,S4,19.59
110.53,09:01:03,S5,19.83
73.02,09:01:03,S6,19.83
98.7,09:01:03,S7,19.69
86.7,09:01:03,S8,20.85
86.72,09:01:03,S9,19.46
88.97,09:01:04,S1,20.15
76.0,09:01:04,S10,20.09
106.03,09:01:04,S2,20.15
76.4,09:01:04,S3,19.73
94.58,09:01:04,S4,19.59
110.55,09:01:04,S5,19.83
72.72,09:01:04,S6,19.85
97.95,09:01:04,S7,19.69
86.63,09:01:04,S8,20.85
86.87,09:01:04,S9,19.49
89.57,09:01:05,S1,20.11
75.73,09:01:05,S10,20.07
106.2,09:01:05,S2,20.15
76.18,09:01:05,S3,19.73
94.82,09:01:05,S4,19.59
110.62,09:01:05,S5,19.85
72.43,09:01:05,S6,19.85
97.32,09:01:05,S7,19.69
86.58,09:01:05,S8,20.59
87.05,09:01:05,S9,19.49
90.17,09:01:06,S1,20.11
75.43,09:01:06,S10,20.07
106.4,09:01:06,S2,20.15
76.35,09:01:06,S3,19.73
95.03,09:01:06,S4,19.59
110.68,09:01:06,S5,19.85
71.97,09:01:06,S6,19.85
96.65,09:01:06,S7,19.54
86.53,09:01:06,S8,20.59
87.23,09:01:06,S9,19.49
90.77,09:01:07,S1,20.11
75.33,09:01:07,S10,20.07
106.58,09:01:07,S2,20.17
76.57,09:01:07,S3,19.73
95.22,09:01:07,S4,19.61
110.77,09:01:07,S5,19.85
71.53,09:01:07,S6,19.83
95.92,09:01:07,S7,19.54
86.48,09:01:07,S8,20.59
87.38,09:01:07,S9,19.46
91.38,09:01:08,S1,20.15
75.92,09:01:08,S10,20.07
106.77,09:01:08,S2,20.17
76.68,09:01:08,S3,19.73
95.4,09:01:08,S4,19.61
110.83,09:01:08,S5,19.83
71.52,09:01:08,S6,19.83
95.12,09:01:08,S7,19.54
86.37,09:01:08,S8,20.57
87.53,09:01:08,S9,19.46
91.95,09:01:09,S1,20.15
76.48,09:01:09,S10,20.07
106.9,09:01:09,S2,20.17
76.77,09:01:09,S3,19.81
95.6,09:01:09,S4,19.61
110.9,09:01:09,S5,19.83
71.45,09:01:09,S6,19.83
94.23,09:01:09,S7,19.54
86.28,09:01:09,S8,20.57
87.68,09:01:09,S9,19.46
92.37,09:01:10,S1,20.15
77.07,09:01:10,S10,20.07
107.0,09:01:10,S2,20.19
76.85,09:01:10,S3,19.81
95.88,09:01:10,S4,19.62
110.97,09:01:10,S5,19.83
71.32,09:01:10,S6,19.87
93.33,09:01:10,S7,19.54
86.18,09:01:10,S8,20.57
87.78,09:01:10,S9,19.46
92.78,09:01:11,S1,20.15
77.77,09:01:11,S10,20.09
107.12,09:01:11,S2,20.19
76.98,09:01:11,S3,19.81
96.1,09:01:11,S4,19.62
111.0,09:01:11,S5,19.85
71.17,09:01:11,S6,19.87
92.48,09:01:11,S7,19.54
86.22,09:01:11,S8,19.99
87.88,09:01:11,S9,19.46
93.22,09:01:12,S1,20.15
78.45,09:01:12,S10,20.09
107.27,09:01:12,S2,20.19
77.12,09:01:12,S3,20.07
96.25,09:01:12,S4,19.62
111.02,09:01:12,S5,19.85
71.08,09:01:12,S6,19.87
91.63,09:01:12,S7,19.54
86.23,09:01:12,S8,19.99
88.0,09:01:12,S9,19.46
93.68,09:01:13,S1,20.15
79.08,09:01:13,S10,20.09
107.27,09:01:13,S2,20.19
77.18,09:01:13,S3,20.07
96.37,09:01:13,S4,19.61
111.05,09:01:13,S5,19.85
70.92,09:01:13,S6,19.83
90.85,09:01:13,S7,19.54
86.23,09:01:13,S8,19.99
88.15,09:01:13,S9,19.39
94.12,09:01:14,S1,20.15
79.75,09:01:14,S10,20.07
107.28,09:01:14,S2,20.19
77.08,09:01:14,S3,20.07
96.47,09:01:14,S4,19.61
111.1,09:01:14,S5,19.87
70.82,09:01:14,S6,19.83
90.03,09:01:14,S7,19.54
86.48,09:01:14,S8,20.11
88.3,09:01:14,S9,19.39
94.55,09:01:15,S1,20.15
80.42,09:01:15,S10,20.07
107.27,09:01:15,S2,20.19
76.98,09:01:15,S3,19.69
96.52,09:01:15,S4,19.61
111.2,09:01:15,S5,19.87
70.72,09:01:15,S6,19.83
88.98,09:01:15,S7,19.54
86.68,09:01:15,S8,20.11
88.48,09:01:15,S9,19.39
94.97,09:01:16,S1,20.15
81.1,09:01:16,S10,20.07
107.23,09:01:16,S2,20.19
76.87,09:01:16,S3,19.69
96.55,09:01:16,S4,19.61
111.35,09:01:16,S5,19.87
70.65,09:01:16,S6,19.83
87.88,09:01:16,S7,19.54
86.85,09:01:16,S8,20.11
88.7,09:01:16,S9,19.62
95.4,09:01:17,S1,20.17
81.63,09:01:17,S10,20.09
107.15,09:01:17,S2,20.19
76.82,09:01:17,S3,19.69
