Heart Rate,Time,Student,Temperature
80.73,13:58:34,S7,27.77
79.6,13:58:34,S8,33.83
124.13,13:58:34,S9,33.93
85.8,13:58:35,S1,31.05
94.62,13:58:35,S10,30.03
119.28,13:58:35,S2,34.37
84.25,13:58:35,S3,32.18
87.7,13:58:35,S4,31.97
83.05,13:58:35,S5,33.95
77.0,13:58:35,S6,32.68
80.43,13:58:35,S7,27.77
79.72,13:58:35,S8,33.83
124.42,13:58:35,S9,33.93
85.87,13:58:36,S1,31.05
94.0,13:58:36,S10,30.03
119.0,13:58:36,S2,34.34
84.18,13:58:36,S3,32.18
87.98,13:58:36,S4,31.97
83.27,13:58:36,S5,33.95
77.47,13:58:36,S6,32.71
80.13,13:58:36,S7,27.77
79.88,13:58:36,S8,33.83
124.7,13:58:36,S9,33.93
85.93,13:58:37,S1,31.05
93.42,13:58:37,S10,30.03
118.68,13:58:37,S2,34.34
84.15,13:58:37,S3,32.18
88.22,13:58:37,S4,31.97
83.4,13:58:37,S5,33.95
77.9,13:58:37,S6,32.71
80.22,13:58:37,S7,27.67
79.9,13:58:37,S8,33.84
124.93,13:58:37,S9,33.93
85.97,13:58:38,S1,31.03
92.87,13:58:38,S10,30.03
118.4,13:58:38,S2,34.34
84.1,13:58:38,S3,32.18
88.47,13:58:38,S4,31.97
83.6,13:58:38,S5,33.95
78.37,13:58:38,S6,32.71
80.3,13:58:38,S7,27.67
79.9,13:58:38,S8,33.84
125.07,13:58:38,S9,33.93
86.1,13:58:39,S1,31.03
92.47,13:58:39,S10,30.03
118.12,13:58:39,S2,34.34
84.07,13:58:39,S3,32.18
88.67,13:58:39,S4,31.97
83.72,13:58:39,S5,33.95
78.87,13:58:39,S6,32.68
80.35,13:58:39,S7,27.67
79.92,13:58:39,S8,33.84
125.2,13:58:39,S9,33.95
86.23,13:58:40,S1,31.03
92.03,13:58:40,S10,30.03
117.8,13:58:40,S2,34.34
84.08,13:58:40,S3,32.18
88.85,13:58:40,S4,31.99
83.83,13:58:40,S5,33.95
79.23,13:58:40,S6,32.68
80.42,13:58:40,S7,27.67
79.92,13:58:40,S8,33.81
125.35,13:58:40,S9,33.95
86.03,13:58:41,S1,31.07
91.62,13:58:41,S10,30.03
117.47,13:58:41,S2,34.34
84.05,13:58:41,S3,32.21
88.63,13:58:41,S4,31.99
83.9,13:58:41,S5,33.95
79.5,13:58:41,S6,32.68
80.47,13:58:41,S7,27.67
79.93,13:58:41,S8,33.81
125.55,13:58:41,S9,33.95
85.97,13:58:42,S1,31.07
91.43,13:58:42,S10,30.03
117.15,13:58:42,S2,34.34
84.02,13:58:42,S3,32.21
88.42,13:58:42,S4,31.99
84.02,13:58:42,S5,33.95
79.88,13:58:42,S6,32.68
80.52,13:58:42,S7,27.67
79.97,13:58:42,S8,33.81
125.97,13:58:42,S9,33.95
86.07,13:58:43,S1,31.07
91.28,13:58:43,S10,30.03
116.78,13:58:43,S2,34.34
83.95,13:58:43,S3,32.21
88.17,13:58:43,S4,31.99
84.18,13:58:43,S5,33.95
80.25,13:58:43,S6,32.68
80.48,13:58:43,S7,27.71
79.68,13:58:43,S8,33.81
126.25,13:58:43,S9,33.95
85.6,13:58:44,S1,31.05
91.12,13:58:44,S10,30.05
116.62,13:58:44,S2,34.34
83.92,13:58:44,S3,32.21
87.95,13:58:44,S4,31.99
84.38,13:58:44,S5,33.93
80.3,13:58:44,S6,32.68
80.45,13:58:44,S7,27.71
79.38,13:58:44,S8,33.81
126.33,13:58:44,S9,33.95
85.78,13:58:45,S1,31.05
90.93,13:58:45,S10,30.05
116.48,13:58:45,S2,34.34
83.85,13:58:45,S3,32.21
87.92,13:58:45,S4,31.99
84.62,13:58:45,S5,33.93
80.35,13:58:45,S6,32.71
80.43,13:58:45,S7,27.71
79.03,13:58:45,S8,33.81
126.47,13:58:45,S9,33.95
84.93,13:58:46,S1,31.05
90.75,13:58:46,S10,30.05
115.83,13:58:46,S2,34.34
83.82,13:58:46,S3,32.21
88.05,13:58:46,S4,31.99
84.5,13:58:46,S5,33.93
80.48,13:58:46,S6,32.71
80.42,13:58:46,S7,27.75
78.7,13:58:46,S8,33.79
126.62,13:58:46,S9,33.95
85.55,13:58:47,S1,31.05
90.48,13:58:47,S10,30.05
114.97,13:58:47,S2,34.34
83.5,13:58:47,S3,32.18
88.18,13:58:47,S4,31.99
84.38,13:58:47,S5,33.95
80.9,13:58:47,S6,32.71
80.38,13:58:47,S7,27.75
78.45,13:58:47,S8,33.79
126.78,13:58:47,S9,33.95
84.62,13:58:48,S1,31.05
90.03,13:58:48,S10,30.05
114.12,13:58:48,S2,34.34
83.22,13:58:48,S3,32.18
88.37,13:58:48,S4,31.99
84.25,13:58:48,S5,33.95
81.28,13:58:48,S6,32.68
80.3,13:58:48,S7,27.75
78.35,13:58:48,S8,33.79
126.92,13:58:48,S9,33.95
84.43,13:58:49,S1,31.05
89.68,13:58:49,S10,30.05
113.27,13:58:49,S2,34.34
82.88,13:58:49,S3,32.18
88.58,13:58:49,S4,31.99
84.15,13:58:49,S5,33.95
81.7,13:58:49,S6,32.68
80.22,13:58:49,S7,27.75
78.28,13:58:49,S8,33.77
126.98,13:58:49,S9,33.95
84.77,13:58:50,S1,31.05
89.23,13:58:50,S10,30.05
112.4,13:58:50,S2,34.34
82.53,13:58:50,S3,32.16
88.77,13:58:50,S4,31.99
84.05,13:58:50,S5,33.93
82.17,13:58:50,S6,32.68
80.1,13:58:50,S7,27.75
78.18,13:58:50,S8,33.77
127.07,13:58:50,S9,33.95
83.8,13:58:51,S1,31.05
88.75,13:58:51,S10,30.05
111.55,13:58:51,S2,34.34
82.23,13:58:51,S3,32.16
88.92,13:58:51,S4,31.99
83.93,13:58:51,S5,33.93
82.63,13:58:51,S6,32.68
79.97,13:58:51,S7,27.75
78.1,13:58:51,S8,33.77
127.18,13:58:51,S9,33.95
84.4,13:58:52,S1,31.05
88.27,13:58:52,S10,30.05
110.75,13:58:52,S2,34.34
81.97,13:58:52,S3,32.16
88.95,13:58:52,S4,31.99
83.9,13:58:52,S5,33.93
83.1,13:58:52,S6,32.68
79.85,13:58:52,S7,27.73
78.03,13:58:52,S8,33.77
127.27,13:58:52,S9,33.95
83.37,13:58:53,S1,31.05
87.78,13:58:53,S10,30.05
110.02,13:58:53,S2,34.34
81.7,13:58:53,S3,32.16
88.97,13:58:53,S4,31.99
83.83,13:58:53,S5,33.91
83.55,13:58:53,S6,32.68
79.83,13:58:53,S7,27.73
78.13,13:58:53,S8,33.77
127.52,13:58:53,S9,33.95
83.98,13:58:54,S1,31.05
87.32,13:58:54,S10,30.05
109.28,13:58:54,S2,34.37
81.45,13:58:54,S3,32.16
89.0,13:58:54,S4,31.99
83.77,13:58:54,S5,33.91
83.97,13:58:54,S6,32.71
79.85,13:58:54,S7,27.73
78.28,13:58:54,S8,33.77
127.75,13:58:54,S9,33.95
83.08,13:58:55,S1,31.05
86.65,13:58:55,S10,30.05
108.55,13:58:55,S2,34.37
81.17,13:58:55,S3,32.16
89.12,13:58:55,S4,31.99
83.72,13:58:55,S5,33.91
84.38,13:58:55,S6,32.71
79.83,13:58:55,S7,27.73
78.47,13:58:55,S8,33.77
128.0,13:58:55,S9,33.95
83.77,13:58:56,S1,31.03
86.17,13:58:56,S10,30.05
107.87,13:58:56,S2,34.37
80.9,13:58:56,S3,32.21
89.22,13:58:56,S4,31.99
83.72,13:58:56,S5,33.93
84.78,13:58:56,S6,32.71
79.9,13:58:56,S7,27.73
78.67,13:58:56,S8,33.77
128.27,13:58:56,S9,33.95
84.48,13:58:57,S1,31.03
85.57,13:58:57,S10,30.05
107.23,13:58:57,S2,34.34
80.62,13:58:57,S3,32.21
89.28,13:58:57,S4,31.99
83.57,13:58:57,S5,33.93
85.2,13:58:57,S6,32.68
79.93,13:58:57,S7,27.73
78.87,13:58:57,S8,33.77
128.55,13:58:57,S9,33.95
85.03,13:58:58,S1,31.03
85.0,13:58:58,S10,30.05
106.68,13:58:58,S2,34.34
80.32,13:58:58,S3,32.21
89.33,13:58:58,S4,31.99
83.42,13:58:58,S5,33.93
85.58,13:58:58,S6,32.68
80.0,13:58:58,S7,27.73
79.13,13:58:58,S8,33.73
128.85,13:58:58,S9,33.95
85.55,13:58:59,S1,31.05
84.6,13:58:59,S10,30.05
106.13,13:58:59,S2,34.34
80.17,13:58:59,S3,32.16
89.53,13:58:59,S4,31.99
83.28,13:58:59,S5,33.95
85.95,13:58:59,S6,32.68
80.07,13:58:59,S7,27.73
79.37,13:58:59,S8,33.73
129.33,13:58:59,S9,33.95
86.08,13:59:00,S1,31.05
84.18,13:59:00,S10,30.05
105.6,13:59:00,S2,34.37
80.07,13:59:00,S3,32.16
89.68,13:59:00,S4,31.99
83.08,13:59:00,S5,33.95
86.37,13:59:00,S6,32.68
80.1,13:59:00,S7,27.73
79.6,13:59:00,S8,33.73
129.75,13:59:00,S9,33.95
86.35,13:59:01,S1,31.05
83.72,13:59:01,S10,30.05
105.05,13:59:01,S2,34.37
80.0,13:59:01,S3,32.16
89.9,13:59:01,S4,32.0
